STATION,NAME,DATE,,DASF,MDPR,MDSF,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,WESD,WT01,WT03,WT04,WT05,WT06,WT09,WT10,WT11,WT14
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",06/17/1911,,,,,0,,,86,45,66,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",06/18/1911,,,,,0,,,89,45,77,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",06/19/1911,,,,,0,,,92,52,85,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",06/20/1911,,,,,0,,,100,54,79,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",06/21/1911,,,,,0,,,98,56,89,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",06/22/1911,,,,,0,,,98,56,89,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",06/23/1911,,,,,0.02,,,97,,78,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",06/24/1911,,,,,0,,,93,78,83,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",06/25/1911,,,,,1.22,,,91,64,77,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",06/26/1911,,,,,0,,,73,54,54,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",06/27/1911,,,,,0,,,69,42,58,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",06/28/1911,,,,,0.22,,,73,38,56,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",06/29/1911,,,,,0.35,,,86,49,73,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",06/30/1911,,,,,0,,,96,65,85,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",07/01/1911,,,,,0,,,100,83,,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",07/02/1911,,,,,0,,,99,63,66,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",07/03/1911,,,,,0,,,89,51,76,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",07/04/1911,,,,,0,,,92,57,77,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",07/05/1911,,,,,0,,,85,47,48,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",07/06/1911,,,,,0.02,,,85,43,70,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",07/07/1911,,,,,0,,,86,47,76,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",07/08/1911,,,,,0.13,,,98,68,75,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",07/09/1911,,,,,0.17,,,83,59,67,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",07/10/1911,,,,,0,,,83,52,72,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",07/11/1911,,,,,0,,,80,51,61,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",07/12/1911,,,,,0,,,76,42,67,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",07/13/1911,,,,,0,,,76,41,67,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",07/14/1911,,,,,0,,,84,42,69,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",07/15/1911,,,,,0.06,,,77,55,60,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",07/16/1911,,,,,0,,,,,,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",07/17/1911,,,,,0,,,77,38,59,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",07/18/1911,,,,,0.12,,,67,42,58,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",07/19/1911,,,,,0,,,82,40,70,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",07/20/1911,,,,,0,,,78,45,67,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",07/21/1911,,,,,0,,,75,40,54,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",07/22/1911,,,,,0.26,,,91,39,61,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",07/23/1911,,,,,1.89,,,68,54,59,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",07/24/1911,,,,,0.02,,,67,47,60,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",07/25/1911,,,,,0.02,,,75,43,65,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",07/26/1911,,,,,0,,,87,42,71,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",07/27/1911,,,,,0.02,,,87,55,75,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",07/28/1911,,,,,0.24,,,83,55,71,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",07/29/1911,,,,,0,,,86,47,70,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",07/30/1911,,,,,0,,,93,54,74,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",07/31/1911,,,,,0.08,,,81,59,59,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",08/01/1911,,,,,1.49,,,67,54,58,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",08/02/1911,,,,,0,,,74,39,60,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",08/03/1911,,,,,0.26,,,75,56,59,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",08/04/1911,,,,,0.24,,,75,57,64,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",08/05/1911,,,,,0,,,79,51,67,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",08/06/1911,,,,,0,,,82,49,68,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",08/07/1911,,,,,0.87,,,76,54,68,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",08/08/1911,,,,,0,,,83,50,74,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",08/09/1911,,,,,0,,,82,50,61,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",08/10/1911,,,,,0.42,,,69,52,59,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",08/11/1911,,,,,0,,,82,40,65,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",08/12/1911,,,,,0,,,78,50,68,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",08/13/1911,,,,,0,,,90,60,74,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",08/14/1911,,,,,1.35,,,90,63,75,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",08/15/1911,,,,,0.63,,,82,57,63,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",08/16/1911,,,,,0,,,83,54,66,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",08/17/1911,,,,,0.02,,,82,44,61,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",08/18/1911,,,,,0,,,76,41,63,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",08/19/1911,,,,,0,,,86,45,65,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",08/20/1911,,,,,0,,,94,55,71,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",08/21/1911,,,,,0.78,,,78,55,56,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",08/22/1911,,,,,0,,,71,42,54,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",08/23/1911,,,,,0,,,76,35,55,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",08/24/1911,,,,,0,,,70,42,55,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",08/25/1911,,,,,0,,,84,49,61,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",08/26/1911,,,,,0.11,,,69,46,65,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",08/27/1911,,,,,0.06,,,65,46,48,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",08/28/1911,,,,,0,,,70,44,51,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",08/29/1911,,,,,0.01,,,65,50,59,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",08/30/1911,,,,,0,,,88,41,66,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",08/31/1911,,,,,0.14,,,82,44,69,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",09/01/1911,,,,,0.14,,,82,44,69,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",09/02/1911,,,,,0,,,76,51,55,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",09/03/1911,,,,,0,,,77,34,53,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",09/04/1911,,,,,0.8,,,61,52,56,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",09/05/1911,,,,,0.04,,,71,53,56,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",09/06/1911,,,,,0.63,,,68,36,41,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",09/07/1911,,,,,0.13,,,58,39,47,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",09/08/1911,,,,,0.02,,,63,43,52,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",09/09/1911,,,,,0,,,74,40,62,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",09/10/1911,,,,,0,,,85,40,52,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",09/11/1911,,,,,0,,,81,51,64,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",09/12/1911,,,,,0.03,,,70,29,51,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",09/13/1911,,,,,0.04,,,80,36,62,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",09/14/1911,,,,,0.14,,,77,55,64,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",09/15/1911,,,,,0,,,79,53,63,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",09/16/1911,,,,,0,,,86,38,52,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",09/17/1911,,,,,0,,,64,35,61,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",09/18/1911,,,,,0.7,,,77,40,63,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",09/19/1911,,,,,0,,,86,39,57,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",09/20/1911,,,,,0,,,65,40,51,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",09/21/1911,,,,,0.08,,,71,42,42,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",09/22/1911,,,,,0,,,76,40,55,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",09/23/1911,,,,,0.25,,,72,47,44,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",09/24/1911,,,,,0,,,74,40,46,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",09/25/1911,,,,,0,,,54,28,50,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",09/26/1911,,,,,0,,,67,30,52,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",09/27/1911,,,,,0,,,64,35,54,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",09/28/1911,,,,,0.46,,,54,28,49,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",09/29/1911,,,,,0,,,60,35,52,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",09/30/1911,,,,,0,,,58,32,48,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",10/01/1911,,,,,0,0,,58,43,43,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",10/02/1911,,,,,0,0,,58,40,47,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",10/03/1911,,,,,0.34,0,,58,45,45,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",10/04/1911,,,,,0.02,0,,60,38,46,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",10/05/1911,,,,,0,0,,54,38,47,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",10/06/1911,,,,,0.11,0,,63,42,47,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",10/07/1911,,,,,0,0,,83,34,50,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",10/08/1911,,,,,0,0,,79,38,57,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",10/09/1911,,,,,0,0,,72,37,50,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",10/10/1911,,,,,0,0,,72,35,46,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",10/11/1911,,,,,0,0,,75,31,52,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",10/12/1911,,,,,0,0,,75,30,54,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",10/13/1911,,,,,0.45,0,,62,46,51,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",10/14/1911,,,,,0,0,,68,47,51,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",10/15/1911,,,,,0,0,,70,42,55,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",10/16/1911,,,,,0,0,,62,41,43,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",10/17/1911,,,,,0,0,,68,31,42,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",10/18/1911,,,,,0,0,,58,30,52,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",10/19/1911,,,,,0,0,,60,32,40,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",10/20/1911,,,,,0,0,,58,35,38,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",10/21/1911,,,,,0,0,,46,27,35,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",10/22/1911,,,,,0.26,3,,40,34,35,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",10/23/1911,,,,,0,0,,42,24,30,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",10/24/1911,,,,,0,0,,48,23,33,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",10/25/1911,,,,,0,0,,40,22,26,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",10/26/1911,,,,,0,0,,38,11,22,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",10/27/1911,,,,,0,0,,39,14,26,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",10/28/1911,,,,,0,0,,47,17,37,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",10/29/1911,,,,,0,0,,44,18,18,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",10/30/1911,,,,,0,0,,40,12,14,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",10/31/1911,,,,,0,0,,33,10,23,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",11/01/1911,,,,,0,0,,32,10,23,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",11/02/1911,,,,,0,0,,34,10,24,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",11/03/1911,,,,,0,0,,34,15,27,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",11/04/1911,,,,,0,0,,42,20,35,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",11/05/1911,,,,,0,0,,43,26,35,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",11/06/1911,,,,,0.12,0,,42,33,35,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",11/07/1911,,,,,0,0,,42,27,30,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",11/08/1911,,,,,0,0,,42,29,34,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",11/09/1911,,,,,0.12,0,,46,32,38,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",11/10/1911,,,,,0,0,,45,12,34,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",11/11/1911,,,,,0.5,5,,45,7,8,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",11/12/1911,,,,,0,0,,15,-3,-2,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",11/13/1911,,,,,0,0,,16,-9,7,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",11/14/1911,,,,,0.1,1,,14,-6,-6,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",11/15/1911,,,,,0,0,,20,-5,-5,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",11/16/1911,,,,,0,0,,22,-5,17,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",11/17/1911,,,,,0,0,,25,8,8,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",11/18/1911,,,,,0,0,,25,-5,-5,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",11/19/1911,,,,,0.1,1,,22,-3,3,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",11/20/1911,,,,,0,0,,30,2,10,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",11/21/1911,,,,,0,0,,27,-11,25,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",11/22/1911,,,,,0,0,,39,15,15,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",11/23/1911,,,,,0,0,,25,-3,-1,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",11/24/1911,,,,,0,0,,28,-2,18,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",11/25/1911,,,,,0,0,,40,10,31,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",11/26/1911,,,,,0,0,,39,17,31,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",11/27/1911,,,,,0,0,,39,12,13,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",11/28/1911,,,,,0,0,,20,-8,2,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",11/29/1911,,,,,0,0,,34,-5,24,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",11/30/1911,,,,,0,0,,47,12,29,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",12/01/1911,,,,,0,0,,36,20,28,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",12/02/1911,,,,,0,0,,30,-5,24,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",12/03/1911,,,,,0,0,,30,10,16,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",12/04/1911,,,,,0,0,,43,12,29,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",12/05/1911,,,,,0,0,,42,21,31,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",12/06/1911,,,,,0,0,,40,20,22,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",12/07/1911,,,,,0,0,,39,9,17,,,,,,,,,,
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",12/08/1911,,,,,0,0,,34,11,27,,,,,,,,,,
